text,label,emotion,predicted,confidence,correct
I cringe at every part of all of this,4,neutral,fear,0.9944867491722107,False
"Not out of a trash can though, surely? That'd be disgusting.",5,sadness,disgust,0.9910625219345093,False
Are you in Auckland and would you like to start work on Monday?,3,happiness,neutral,0.9904965162277222,False
Mark is parade his knowledge again .,1,disgust,neutral,0.9889886975288391,False
"I have lots of work to do . What ’ s more , my grandma is ill .",5,sadness,neutral,0.9877504706382751,False
oh thats nasty!,0,anger,disgust,0.9862316250801086,False
My heart just melted.,3,happiness,sadness,0.9816449880599976,False
"That guy was beyond cringe, it was creepy",2,fear,disgust,0.9808902740478516,False
Omg yes!,3,happiness,surprise,0.9803542494773865,False
I have to talk to you !,0,anger,neutral,0.9786210060119629,False
I'm also happy you're still here!!,6,surprise,happiness,0.9784561395645142,False
Those ears...those horrible ears,2,fear,disgust,0.975658655166626,False
Weird but interesting nonetheless.,3,happiness,disgust,0.9666246175765991,False
This shirt you gave me is not my favorite brand .,4,neutral,disgust,0.9547034502029419,False
"she said (i swear to [NAME]) her doctors told her she wasnt bipolar and has ""anxiety caused by other people"" ",5,sadness,neutral,0.9528623819351196,False
If you want to know what kind of people her parents are you can google her. He name is [NAME],6,surprise,neutral,0.9510483741760254,False
[NAME] is worse.. [NAME] is really bad as well..,3,happiness,disgust,0.9499459862709045,False
"what do you wanna bet [NAME] thought they meant ""his"" campus sexual assault info as opposed to everyones and just stalled to be safe?",0,anger,neutral,0.9476940035820007,False
Intentional fouling in basketball too thiugh,5,sadness,disgust,0.9433975219726562,False
"I wish [NAME] would debate [NAME], if he was alive :(. ",5,sadness,neutral,0.9410401582717896,False
this is the best thing I have read in awhile. so simple yet so hiarious.,3,happiness,love,0.9398516416549683,False
Or wait a few more weeks and try to snag one on sale after St. Paddy's,3,happiness,neutral,0.9386427402496338,False
Just walk ahead of everyone and be the leader,3,happiness,neutral,0.9349229335784912,False
Pulisic is a replacement for our abysmal right wing.,4,neutral,disgust,0.9220724105834961,False
I don’t know anything about Israeli politics except that [NAME] is awful and I hope he loses.,0,anger,disgust,0.9152005910873413,False
Oh no I didn’t see that episode!? She pooped in the car?!,5,sadness,surprise,0.9145684242248535,False
I picked up smoking again thinking it would aid that void that is working. It just made it worse.,5,sadness,disgust,0.9116820693016052,False
What I find disgusting is thinking you can be a liberal and a ecologist. Anyone has its own ideas I guess.,3,happiness,disgust,0.9079927206039429,False
"Oh myThis is so embarrassing. Oh my God, Im never gonna get massaged again!",2,fear,disgust,0.9037509560585022,False
"This is actually kinda cool, I like it!! ",3,happiness,love,0.8947916030883789,False
This has to be a joke. Your written word is atrocious.,2,fear,disgust,0.8940777778625488,False
This is going to end badly for him,5,sadness,disgust,0.8888751268386841,False
"When youre done over there, we kinda have a situation over here too.",2,fear,neutral,0.8877605199813843,False
Oh that makes sense. But still I think asking a girl to touch her boobs is pretty creepy xD,4,neutral,disgust,0.8855215907096863,False
"That was great, especially as your first video.",3,happiness,love,0.8837828636169434,False
"Losing my identity, wondering have I gone insane...",5,sadness,surprise,0.8819147944450378,False
"Uhhhh, existed... Ever been to Arkansas? It’s boring as fuck.",5,sadness,disgust,0.8732897043228149,False
"Amazing bot, you’re doing great sweetie ",3,happiness,love,0.8688388466835022,False
I enjoyed the effort from your dad so I must downvote but I want the subreddit to see this so I’ll upvote,4,neutral,happiness,0.8684028387069702,False
Oh no atleast you found out early. I went to find help a year ago but you know i stopped going to that therapist,4,neutral,surprise,0.8656160235404968,False
"[NAME], 2 weeks ago got charged $20 and was fake [NAME].",5,sadness,neutral,0.8649307489395142,False
"Please stop posting things like this, this is serious, keep it civil, keep it real, thanks.",0,anger,happiness,0.8637819290161133,False
"Yes , we really enjoyed it .",4,neutral,happiness,0.8636174201965332,False
For the love of all that is good get rid of these people already.,3,happiness,love,0.8619491457939148,False
Hardly surprising. Now they also lost their coach... rip,5,sadness,surprise,0.8562009334564209,False
Can confirm it's very cold in Chicago today,3,happiness,neutral,0.8556651473045349,False
VOLCEL POLICE!,6,surprise,neutral,0.8527270555496216,False
A Wall is NOT a Volition of the NAP you idiot.,0,anger,disgust,0.8512733578681946,False
"How about we don't swear on medieval religions at all, thanks",6,surprise,happiness,0.8499403595924377,False
MLMs and religions all follow the same checklist. Interesting.,4,neutral,love,0.8448582887649536,False
Not look much beautiful.,0,anger,disgust,0.8419458866119385,False
"Wow. AP should find that video and flag whoever did that...deep, scary issues at play",2,fear,surprise,0.8413601517677307,False
"If they actually have more evidence that he was deeper than originally suspected, then I have no sympathy.",0,anger,disgust,0.8382891416549683,False
What are you going to do? Kill him? Like you did with Charles?!,0,anger,neutral,0.8316752910614014,False
I’m sorry friend. I actually used to be pretty good with this but I’m constantly getting worse.,5,sadness,disgust,0.825619101524353,False
Absolutely terrible. But wholesome aswell.,2,fear,disgust,0.8230857849121094,False
Feel you pain. Stay strong,5,sadness,love,0.8194150924682617,False
Oh my good God.,1,disgust,surprise,0.8177043199539185,False
YES. Thanks man. Now I can feel less weird about my 20-year long passive aggressive rivalry with my sister. That means a lot.,3,happiness,disgust,0.8126635551452637,False
I could not agree with you more! These selfish women crying abuse to manipulate.,0,anger,disgust,0.8060566186904907,False
Welp these were my happy tears of the days. :’),5,sadness,happiness,0.8027642369270325,False
Can't imagine voluntarily looking through those photos.,4,neutral,surprise,0.8021935820579529,False
You've aged horribly',2,fear,disgust,0.800968587398529,False
"If they stop the music, urine luck...",0,anger,neutral,0.8002635836601257,False
"Leader is an aura perk so you can't be affected by it yourself, you can only affect other people with it. ",2,fear,neutral,0.7989347577095032,False
"Whats all this about you guys fighting?! Is this really over a room?! I mean, that is so silly!",0,anger,disgust,0.7976388335227966,False
ITS MAM!,0,anger,neutral,0.7899116277694702,False
the last 2 are mocking the first you dumb asses,0,anger,disgust,0.7836748957633972,False
Nothing wrong with kayo,3,happiness,neutral,0.7835304737091064,False
"Nothing official, just a gut feeling. We'll see though as today we should have an update.",1,disgust,neutral,0.7795606851577759,False
"Certain mental health issues can be smelled on a person; by all accounts, schizophrenia makes a person's sweat smell like goat",2,fear,disgust,0.7784915566444397,False
"Oh [NAME], me and kiwi or pineapple. Or that feeling when a tortilla chip gets stuck in the roof of your mouth",2,fear,neutral,0.772357165813446,False
Women should have all the same rights as men. That does not include ending another human’s life.,3,happiness,neutral,0.763545572757721,False
You’re welcome,4,neutral,happiness,0.7535484433174133,False
I'm a woman and I lost mine at 26 (was just a later bloomer) This obsession with virginity is odd.,5,sadness,disgust,0.7517428398132324,False
"I’m not sure how this is really a question. No, you should not allow your child around a known pedophile. In any capacity.",4,neutral,disgust,0.7391260862350464,False
"Reminds of kissing my first girlfriend. [NAME], we had no idea what we were doing. ",6,surprise,neutral,0.7306945323944092,False
"I’ve had a hard time finding stuff in the area, occasionally Construction Junction will have a decent old handsaw or two...",5,sadness,neutral,0.7298213839530945,False
The only cringe is some of y'all obsessing over every little thing Eureka does.,2,fear,neutral,0.7062193155288696,False
"Oh , there is something wrong with my car .",6,surprise,neutral,0.7046079635620117,False
Oh my [NAME] your desk is fucked.,6,surprise,anger,0.7008384466171265,False
"Healthy eating is not about strict nutrition philosophies , staying unrealistically thin , or depriving yourself of foods you love .",3,happiness,neutral,0.6983616352081299,False
"It got completely banned I think, saw a post about it a while back in r/gore.",0,anger,neutral,0.6934728026390076,False
On PS4 it's very toxic. I would imagine it is the same over on Xbox One aswell,2,fear,disgust,0.6924585700035095,False
Gets kinda itchy.,2,fear,neutral,0.6848965287208557,False
"Damn it, I only have 6 comments on this sub, I don’t qualify😞",5,sadness,disgust,0.681084394454956,False
I mean nowadays the first grader would be expelled as a sex offender and put on a registry anyway,4,neutral,disgust,0.6802064180374146,False
I wish I had your efficiency. I can be at work a full shift and still get almost nothing done.,5,sadness,neutral,0.6783281564712524,False
"Yes, I know, I read the article, thanks. I'm not sure why you're quoting that, it doesn't change anything I said.",6,surprise,happiness,0.6775895357131958,False
"Oh no wait, oh no, the elastic on my underwear busted.",4,neutral,surprise,0.6766384840011597,False
" No way, man. We're gonna keep on rockin' forever. Forever. Forever. Forever...",3,happiness,neutral,0.6759727597236633,False
This is nightmare fuel,2,fear,disgust,0.6759193539619446,False
"I didn’t notice till the replay and honestly, I screamed",2,fear,surprise,0.6717492341995239,False
Did he just get fat? What caused him to fall off so much? It's amazing how quickly he flamed out.,4,neutral,surprise,0.6585220098495483,False
"Get two, I'm not sharing with [NAME]",0,anger,neutral,0.6556098461151123,False
If theyre real pharma then id charge $7 or 8 a pill. I never pay more than 5 for real ones but $8 is still kinda fair,6,surprise,neutral,0.6488917469978333,False
"I do. Am chemist. Stop serving me things that remind me of work, goddamit.",0,anger,disgust,0.6463425159454346,False
Calling people NPCs really gives you insight on how easy it seems for them to kill and attack others.,6,surprise,neutral,0.643673837184906,False
I'd be pissed off if I was a [NAME] who voted to remain in the UK & then got shafted by brexit..,5,sadness,anger,0.6393765211105347,False
when my friend introduced me to [NAME] i was only 7 or 8,3,happiness,neutral,0.6295672059059143,False
Fucking hell! I've been out there protesting orange people all this time. I need funding for new signs!,1,disgust,anger,0.624259889125824,False
"> Is it weird to have more sympathy for animals than humans? It's frighteningly common, so not *weird*, but it's definitely sad",0,anger,disgust,0.6220999956130981,False
Wow.. must have missed this. This is really fucked up if true!,0,anger,disgust,0.6201583743095398,False
My mom and I do the same exact thing. I hate it.,5,sadness,disgust,0.6198921203613281,False
This is a good step. Refusing to vaccinate your kids should be considered child abuse.,3,happiness,disgust,0.6175395846366882,False
"Maybe you should try watching it before commenting on it, otherwise your just posting from a position of ignorance. ",0,anger,neutral,0.6023492813110352,False
Glad to see Tael (wabi) on the list but surprised its not at the top.,6,surprise,happiness,0.5989108085632324,False
The chicken and bacon one sounds absolutely baller. I’ll have to check it out! Thanks,6,surprise,happiness,0.5986437201499939,False
"She's living my life, and she's doing it better than me!",0,anger,neutral,0.5959469676017761,False
"Well said, being alone is a stronger feeling than love! ",4,neutral,love,0.5957350730895996,False
"Uhh, yes I did but there isn't. Okay, here we go.",5,sadness,neutral,0.5878526568412781,False
"Even assuming that it's possible to take nothing, god DAMN I feel bad for anyone that has to look at the second dude's head during sex",2,fear,disgust,0.5701199173927307,False
It’s the comment about smelling her that makes it pure cringe.,2,fear,disgust,0.5689558386802673,False
"I don't know. We're talking about whipped fish, Monica. I'm just happy I'm keeping it down, y'know?",1,disgust,neutral,0.5599592924118042,False
"Oh don’t worry, I have an oil for that",2,fear,neutral,0.5564279556274414,False
"34 year old here... still feel like a 20 year old still trying to figure things out... no kids, no wife, ",5,sadness,neutral,0.5562774538993835,False
Nothing of value lost then. They didn't really give a shit before so it doesn't matter now. Move on and cultivate new relationships.,3,happiness,neutral,0.5503090620040894,False
Are you okay? What's wrong?,2,fear,neutral,0.5459822416305542,False
What a waste of plastic.,0,anger,disgust,0.5426350831985474,False
Yeah it’s the opponents club that should be scared of us! We are REAL MADRID!,2,fear,neutral,0.5401604175567627,False
Sorry to hear it man. Grief is the appropriate thing to feel. I hope she is happy in the afterlife. Peace be with you both.,5,sadness,love,0.5321758389472961,False
"He had doubts but no matter, the baby changed his life and he wouldn't abandon it no matter what :)!",3,happiness,neutral,0.5307372808456421,False
Back in my day the only bars you could find were real ones👴,6,surprise,neutral,0.5246184468269348,False
[NAME] saved by the very compassion in society that he is trying to destroy.,1,disgust,neutral,0.5179248452186584,False
"I didnt see a ref's hand up, I was about to have a stroke",2,fear,neutral,0.5128883719444275,False
"I had the same thought, I didn’t see anything notable about this at all.",6,surprise,disgust,0.5125667452812195,False
lol getting totes fucked up at work is super cool i am one ZANY individual look out Shut the fuck up do it in your own time,0,anger,disgust,0.5066244602203369,False
It was done before and it was terrible,2,fear,disgust,0.4958122670650482,False
don't send that message,0,anger,neutral,0.49133244156837463,False
I feel like the last two seasons made me detach from the show.,6,surprise,neutral,0.48911693692207336,False
GF is false; I saw Mayor get transported and I was stabbed by an SK,0,anger,neutral,0.4867461919784546,False
This reply made me giggle. Sorry you got hit by a moron! Hope your car is repairable!,2,fear,sadness,0.48620861768722534,False
The most hatful crowd is not the lefties. Lefties may be annoying but hate as such is a tool used by the right much more skillfully and forcefully.,0,anger,neutral,0.48011478781700134,False
Fear of awkward and inconvenient encounters. What can he do to you?,2,fear,neutral,0.47907495498657227,False
Omg TDG has a new singer? That's so sad. I was rocking out to them in middle school too. Simpler times.,0,anger,surprise,0.4783269464969635,False
"The only ""pro choice"" I like is pro choice of guns! Another LIBERAL trolled epic style",3,happiness,love,0.4754631519317627,False
"I think it was more hope, we all make mistakes. I thought [NAME] was going to step up.",3,happiness,neutral,0.4743405282497406,False
"Really ? Wow , it is great .",6,surprise,love,0.4713735580444336,False
Modern buildings are horrible.. I’ve felt like this before. Stars and birds still fill me with a sense of wonder most often.,2,fear,disgust,0.46883925795555115,False
"If you wanna be my lover, You gotta get with my fat, Make it last forever, Inconvinience never ends.",5,sadness,love,0.46806585788726807,False
Whiskey isn't going to help. She should pray to [NAME] that another man comes and brings purpose to her life.,3,happiness,neutral,0.4664994478225708,False
"“Stop replying to me as I send you a message first!” Oh, meat eaters ❤️",0,anger,neutral,0.46385806798934937,False
"I'm not rotting, I'm drinking.",5,sadness,anger,0.4587112069129944,False
"Wait, Mario Odyssey? I love that game, but isn't it a little old to be in the top 10?",0,anger,neutral,0.4540007412433624,False
It has to include a scene where Polio ruins his childhood. And he learns about raid low-irritant spray. Because that’s a thing I remember.,6,surprise,neutral,0.4494289755821228,False
But he has... so it’s not that he can’t but that he shouldn’t.,0,anger,neutral,0.4448634684085846,False
Happy Cake Day [NAME]! Use what talents you possess: the woods would be very silent if no birds sang there except those that sang best.,3,happiness,neutral,0.43745580315589905,False
"[NAME] is bae, how dare you.",4,neutral,anger,0.437447190284729,False
"Apparently, they couldn't believe a massive corporation (that they're loyal to) finally called them out.",6,surprise,neutral,0.43292203545570374,False
"If he wants to play more, he should play better. Otherwise, leave. [NAME] has been very bad.",0,anger,neutral,0.42782890796661377,False
"Post on the [NAME] and listen to info wars, you shouldn’t have an opinion on the Internet and you should not share it",5,sadness,neutral,0.42098090052604675,False
"Damnit, it was *Flavor-Aid*, not Kool-Aid.",0,anger,disgust,0.41516241431236267,False
"ah, rejection. i know something about it",0,anger,neutral,0.41131412982940674,False
"Sorry, I was misinformed. My apologies, brother in [NAME].",1,disgust,sadness,0.4048827290534973,False
That must hurt,5,sadness,fear,0.4019242525100708,False
It's not nearly as easy to underreport murders as you think,2,fear,neutral,0.401786208152771,False
Can you apply to some kind of help within your university? Sorry this is happening to you.,5,sadness,neutral,0.40032684803009033,False
I'm phobic of needles and babies so that was NOT a picture I wanted to see.,5,sadness,disgust,0.39371129870414734,False
The World Between Worlds veered worryingly close to this territory. Luckily it was handled well.,6,surprise,neutral,0.39309799671173096,False
I am loving this exchange. At first I felt really really insecure that my sister and I are best friends and now I realize this person is ridiculous.,6,surprise,disgust,0.38891902565956116,False
"Same, actually. Funny, just saw him in a local video doing the same bit.",1,disgust,surprise,0.3842046856880188,False
"I got a weird vibe when he was placed on Colliton's staff, so I'm really glad it's turned out the way it did. ",0,anger,disgust,0.3799493908882141,False
3 Hours of [NAME] pissing on the floor in public,0,anger,neutral,0.37980279326438904,False
"I didn't need that eye, anyway.",0,anger,neutral,0.3795960545539856,False
Thats who I thought it was too😂,6,surprise,neutral,0.37874072790145874,False
"Sorry bb :( I understand that feeling all too well, haha",5,sadness,happiness,0.37054577469825745,False
Whats that smell?,1,disgust,neutral,0.3703772723674774,False
"Oh wow, I feel bad for the parents, they had no idea",5,sadness,disgust,0.367274671792984,False
Get back on your meds mate..You aren't funny at all...,3,happiness,disgust,0.36500805616378784,False
"Agreed. I don't know what the middle ground is, but it's somewhere between neglect through inaction and traumatic physical overreaction. ",3,happiness,disgust,0.35972070693969727,False
"Paraphrasing [NAME], this brought warm feelings to my heart.",3,happiness,neutral,0.3545559048652649,False
"You're getting your french fries from the wrong places, then.",2,fear,anger,0.34761667251586914,False
I think the show was all about forgiveness. She can't change [NAME] and fighting with him only brings him around and brings her pain.,2,fear,neutral,0.34301063418388367,False
Yepp. I've struggled to hold a job so I'd be in trouble without it.,2,fear,sadness,0.34150323271751404,False
I saw a youtube video once where someone was a “failed abortion”. They were perfectly normal. I guess the doctor was just an idiot.,0,anger,neutral,0.34001225233078003,False
Violife and follow your heart I made a cheese board for my dairy loving family and they couldn’t believe it!,5,sadness,love,0.33574938774108887,False
"Well then I feel sorry for men for being such incontrolable sexual beasts I guess. My original answer was sincere, I can't speak for others though.",0,anger,neutral,0.3323309123516083,False
Omg I could cry at this,6,surprise,fear,0.3316665291786194,False
Wow did you really just scam me😔,6,surprise,disgust,0.3313472270965576,False
I’m 40 and I’ve never lied about my age or weight. People take themselves so seriously!,0,anger,surprise,0.31599128246307373,False
"It's pretty stupid honestly. [NAME] clearly pointed a bug and people are saying ""oh, it's a feature"". ...seriously now.",0,anger,neutral,0.2968609929084778,False
I did not cry my eyes out!!,0,anger,disgust,0.2807258069515228,False
Absolutely! The Republicans are craven,2,fear,neutral,0.27749934792518616,False
[NAME] I've smoked for 20 years. Really is time to quit.,6,surprise,neutral,0.2755001187324524,False
How about breaking into tears whenever one of your friends tells you they trust you because you never understood what trust meant,6,surprise,fear,0.23414912819862366,False
